rxcui	conceptId	drugBank
22299	1786617	DB00080
612	985247	DB06723
6475	792263	DB00408
1364347	43013182	DB08901
9518	1164108	DB08797
31494	19080558	DB08804
29365	908921	DB02300
237099	19056802	DB00163
7993	19030376	DB00183
1483575	44784845	DB04335
7712	19129638	DB02262
6760	702865	DB00371
50121	19113014	DB00588
2578	43081519	DB00283
183379	733523	DB00989
1427058	43532099	DB03902
1043	43075590	DB00714
4492	955632	DB00544
596724	1381253	DB00261
1012892	40226579	DB08868
75635	1322199	DB00063
274786	1702911	DB00976
3194	19082710	DB03619
11377	19010496	DB01904
45318	19112514	DB00596
733	43117342	DB00415
53654	1769389	DB00238
5093	766529	DB00502
20492	1749083	DB01415
1037042	40228152	DB06695
227239	988447	DB05900
9524	964339	DB00795
1482680	44507693	DB08933
1552337	45774966	DB09048
2404	43081327	DB00672
1364479	43013119	DB08827
68091	903459	DB00757
598	1381504	DB00770
10472	19137377	DB02731
278567	1103374	DB00580
3024	19010955	DB03201
5781	1178663	DB00328
10633	1502809	DB00839
6672	1794280	DB00643
1314858	42903912	DB01936
7258	1115008	DB08298
35185	731188	DB01589
1311504	42898412	DB01370
2023	43080904	DB04339
6902	1506270	DB00959
34369	928110	DB01130
88249	1154161	DB00471
298869	1309799	DB00700
59943	981691	DB00724
10179	1036425	DB00576
1487514	44785907	DB09076
352372	731533	DB06701
35302	19034726	DB00877
9071	1760616	DB00468
10184	1036475	DB00259
1425099	43532497	DB08911
29439	909021	DB00253
1897	43077093	DB06724
2356	43081273	DB00475
16818	929638	DB00459
25037	1796458	DB00535
91428	19135927	DB00286
753340	19021959	DB00360
2194	1778162	DB01112
10847	1105853	DB00792
72965	1315946	DB01006
60548	1583722	DB01276
1442981	44507848	DB09053
3827	1341927	DB00584
4278	953076	DB00927
2019	43080899	DB00190
42612	1152631	DB01003
83171	1745072	DB00369
10691	1303425	DB00302
2683	43081636	DB01394
1546440	45775573	DB04053
73178	19017241	DB04946
620216	1787101	DB04835
7779	1524769	DB00621
194337	1337651	DB02546
6964	1508439	DB00834
1368173	43014124	DB03467
6876	1305447	DB00968
7005	1309188	DB01204
221153	19052551	DB01224
37801	1741309	DB00857
1348	19011337	DB00394
9344	1762711	DB00811
1399	43076540	DB01086
283742	904453	DB00736
2625	43081572	DB01147
1356552	42904177	DB08883
14845	919986	DB00964
5933	1780601	DB05382
6033	19082306	DB00167
4500	956266	DB00846
2344	19054996	DB01563
282388	1304107	DB00619
1307298	42900250	DB08899
26925	19069042	DB00667
8156	19035577	DB00120
6038	1782521	DB00951
214354	1351557	DB00796
41208	949759	DB00596
6536	19092377	DB03252
10171	1836391	DB00359
1114326	40240664	DB05039
15657	19024728	DB01262
6371	1389464	DB00848
3489	19029488	DB08995
10176	19136426	DB01581
4821	1560171	DB01067
1367170	43013101	DB01776
9500	19063981	DB01698
1242987	42709321	DB08828
1100699	40239216	DB08882
18516	933794	DB01574
1307619	42900401	DB06616
49247	1362979	DB00204
1999	940183	DB00411
21655	19049823	DB01380
6308	19088571	DB01746
32673	918881	DB01428
1314365	42903848	DB02249
7222	19126937	DB00157
8987	1759455	DB00339
7315	717136	DB01400
2907	43081885	DB00148
115698	712615	DB00246
10962	19006692	DB03839
3966	1143374	DB01364
