FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
MUMPS VIRUS STRAIN B LEVEL JERYL LYNN LIVE ANTIGEN	47QB6MX9KU	798372	None	None	None
NYSTATIN	BDF1O1C72E	7597	None	None	None
CEFOTIAM	91W6Z2N718	2188	Cefotiam	DB00229	CHEBI_355510
LAURYL GLYCOL HYDROXYPROPYL ETHER	4KDJ27EOJE	1428874	None	None	None
YELLOW HORNET VENOM PROTEIN	7PI26E943G	1297537	None	None	None
EXTRANEAL	2NX48Z0A9G	1100743	None	None	None
CORYNEBACTERIUM DIPHTHERIAE	3U7E3O07S8	798304	None	None	None
AMINACRINE	78OY3Z0P7Z	645	None	None	None
TUSSILAGO FARFARA LEAF	G2GH7V846Z	1372564	None	None	None
DI-(4-TERT-BUTYLCYCLOHEXYL)PEROXYDICARBONATE	076NU497LZ	1310539	None	None	None
DEXKETOPROFEN	6KD9E78X68	237162	None	None	None
OREGANO ALLERGENIC EXTRACT	0E5AT8T16U	1010965	None	None	None
ALMOND OIL BITTER	6TQK77W0EX	1370302	None	None	None
ISTODAX	CX3T89XQBK	877436	None	None	None
1,3-NAPHTHALENEDISULFONIC ACID, 6,6'-((3,3'-DIMETHYL(1,1'-BIPHENYL)-4,4'-DIYL)BIS(AZO))BIS(4-AMINO-5-HYDROXY)-, TETRASODIUM SALT	45PG892GO1	4191	None	None	None
PHENOBARBITAL SODIUM	SW9M9BB5K3	82077	None	None	None
SODIUM LAURETH-3 SULFATE	BPV390UAP0	1310569	None	None	None
DOBUTAMINE HCL	0WR771DJXV	203121	None	None	None
7-DEHYDROCHOLESTEROL	BK1IU07GKF	1362616	None	None	None
CEFIXIME	97I1C92E55	25033	None	None	CHEBI_472657
PALONOSETRON HCL	23310D4I19	397405	None	None	None
SODIUM LAURYL SARCOSINATE	5PGH842FAU	1366863	None	None	None
OMOCONAZOLE MONONITRATE	15LTY5STY6	134933	None	None	None
VISCUM ALBUM PREPARATION	E6839Q6DO1	350489	None	None	None
GALLUS GALLUS FEATHER	1FCM16V0FV	894934	None	None	None
DORZOLAMIDE HYDROCHLORIDE	QZO5366EW7	236065	None	None	None
CYANOCOBALAMIN	P6YC3EG204	11248	None	None	CHEBI_17439
ACTOS	JQT35NPK6C	261442	None	None	None
EUONYMUS ATROPURPUREUS BRANCH BARK/ROOT BARK	WJK59V19EW	1428219	None	None	None
ARIXTRA	X0Q6N9USOZ	322155	None	None	CHEBI_31632
BUCKWHEAT	N0Y68724R3	899394	None	None	None
POLISTES METRICUS VENOM PROTEIN	ZN217W5Y50	1294630	None	None	None
NETILMICIN SULFATE	S741ZJS97U	203193	None	None	None
MEROPENEM	FV9J3JU8B1	29561	None	None	CHEBI_43968
LIMULUS POLYPHEMUS	3R8874KEYH	1421478	None	None	None
ELYMUS REPENS TOP	8K1MK5E1FY	1344644	None	None	None
RECOMBINANT ANTIHEMOPHILIC FACTOR PREPARATION	P89DR4NY54	1300486	None	None	None
SANGUINARIA CANADENSIS ROOT	N9288CD508	670544	None	None	None
BETAXOLOL	O0ZR1R6RZ2	1520	None	None	CHEBI_3082
INNOHEP	3S182ET3UA	151903	None	None	None
DEXTROTHYROXINE	4W9K63FION	3292	Dextrothyroxine	DB00509	CHEBI_30659
POMEGRANATE JUICE	99S671U9KB	1358975	None	None	None
PPG-15 STEARYL ETHER BENZOATE	80D2J6361M	1426945	None	None	None
ENALAPRILAT DIHYDRATE	GV0O7ES0R3	3829	None	None	None
VANCOMYCIN	6Q205EH1VU	11124	Vancomycin	DB00512	CHEBI_28001
FORTAZ	9M416Z9QNR	203421	None	None	None
DIETHYLHEXYL MALEATE	C2F7JHI12L	1312551	None	None	None
ARTICAINE	D3SQ406G9X	592464	None	None	None
SALICIN EXTRACT	0M6Q0EY5ON	260012	None	None	None
THIAMINE PYROPHOSPHATE	Q57971654Y	10459	None	None	None
COBALT SULFATE	H7965X29HX	1362742	None	None	None
POLY(METHYL METHACRYLATE; 450000 MW)	Z47NNT4J11	1433496	None	None	None
4-METHYLPYRAZOLE	83LCM6L2BY	15226	None	None	None
MYRISTYL-GAMMA-PICOLINIUM CHLORIDE	3D6CWI0P23	1425941	None	None	None
FROVATRIPTAN SUCCINATE	D28J6W18HY	322249	None	None	None
POLYESTER-8 (1400 MW, CYANODIPHENYLPROPENOYL CAPPED)	T9296U138P	1314201	None	None	None
PROCAINE	4Z8Y51M438	8701	Procaine	DB00721	CHEBI_8430
MAGNESIUM SULFATE MONOHYDRATE	E2L2TK027P	1311259	None	None	None
PHOSPHATIDYL SERINE	394XK0IH40	89959	None	None	None
LODGEPOLE PINE POLLEN EXTRACT	FB7IP650ET	898324	None	None	None
HOG SKIN EXTRACT	3EM4VW6TQN	852839	None	None	None
BOS TAURUS ANKLE JOINT	63Z8OTG0HU	1310246	None	None	None
C12-13 PARETH-23	J1WW1510L4	1368905	None	None	None
MELALEUCA ALTERNIFOLIA WHOLE	976KV4FXYF	1487832	None	None	None
UTAH JUNIPER POLLEN EXTRACT	15L060HV8H	852597	None	None	None
ALLERGENIC EXTRACT, CORN	0N8672707O	892547	None	None	None
PURINETHOL	E7WED276I5	219513	None	None	None
METHYL CINNAMATE	533CV2ZCQL	1367156	None	None	None
ANEMONE PATENS	4M1169RWJD	1311154	None	None	None
EGG WHITE	3E0I92Z2GR	892616	None	None	None
MALVA SYLVESTRIS FLOWERING TOP	X1U1U0N90J	1309488	None	None	None
CANRENOIC ACID	87UG89VA9K	81971	None	None	None
PHTHALYLSULPHACETAMIDE	24PUW23GRX	89736	None	None	None
GUAIACOLSULFONIC ACID	713AJ00NPG	26288	None	None	None
TRIFLUOPERAZINE HCL	6P1Y2SNF5V	91130	None	None	None
ALLERGENIC EXTRACT, ASPERGILLUS TERREUS	QBN8K7055X	314324	None	None	None
PIZOTIFEN	0BY8440V3N	8373	None	None	None
PANITUMUMAB	6A901E312A	263034	None	None	None
AMPHETAMINE SULFATE	6DPV8NK46S	81952	None	None	None
RITONAVIR	O3J8G9O825	85762	Ritonavir	DB00503	None
SACCHAROMYCES CEREVISIAE EXTRACT	978D8U419H	867333	None	None	None
SUCCINYLCHOLINE	J2R869A8YF	10154	Succinylcholine	DB00202	None
COPAXONE	5M691HL4BO	135779	None	None	None
SITOSTEROL, BETA-	S347WMO6M4	47070	None	None	None
LESSER GALANGAL ROOT	42LD90786Y	1307953	None	None	None
PROLINTANE HYDROCHLORIDE	YEG124534B	235831	None	None	None
FELBATOL	X72RBB02N8	224900	None	None	None
ADONIS VERNALIS EXTRACT	17A930VR0G	1342649	None	None	None
NASALIDE	QK4DYS664X	218620	None	None	None
OXYBUPROCAINE	AXQ0JYM303	18889	None	None	CHEBI_309594
POLISTES ANNULARIS VENOM PROTEIN	987GS3GJZX	1294634	None	None	None
METRONIDAZOLE HYDROCHLORIDE	76JC1633UF	82047	None	None	None
STREPTOCOCCUS PNEUMONIAE TYPE 6A CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN	Z9HK08690W	901633	None	None	None
CESIUM CHLORIDE	GNR9HML8BA	20599	None	None	None
PERILLA FRUTESCENS FRUIT	91AJ16QF9O	1311653	None	None	None
CRITHMUM MARITIMUM EXTRACT	J7IHY79BKY	1372010	None	None	None
ANISE	21C2F5E8RE	1309292	None	None	None
DROMETRIZOLE	5X93W9OFZL	1426903	None	None	None
NICKEL SULPHATE	4FLT4T3WUN	31738	None	None	None
DOXACURIUM	P40015Y3WW	23651	None	None	None
SERRATIOPEPTIDASE	NL053ABE4J	36434	None	None	None
MEPIRODIPINE	2VBY96ASWJ	39879	None	None	None
MYRISTOYL SARCOSINATE	ZL6OI6P595	1370597	None	None	None
HYDROGEN SULFITE	OJ9787WBLU	1366859	None	None	None
ETHYL MACADAMIATE	ANA2NCS6V1	1314358	None	None	None
FLUOREXON	V0YM2B16TS	25161	None	None	None
TRECATOR	OAY8ORS3CQ	835718	None	None	CHEBI_4885
KITASAMYCIN A3	HV13HFS217	6084	None	None	None
TRICHOTHECIUM ROSEUM EXTRACT	TGO054E31O	968426	None	None	None
SODIUM ACRYLOYLDIMETHYLTAURATE	2T9Q6EKI0G	1366964	None	None	None
DINITROGEN MONOXIDE	K50XQU1029	7486	None	None	None
PRIDINOL HCL	3HI2Q2Y868	236869	None	None	None
MUCOR CIRCINELLOIDES F. LUSITANICUS	0J0X819B3C	1426705	None	None	None
POLYACRYLAMIDE (1300000 MW)	SC5Y4X78TG	1356764	None	None	None
APPLE FRUIT OIL	9NT987I3A8	1485785	None	None	None
OLEANDOMYCIN	P8ZQ646136	7629	None	None	None
HAEMOPHILUS INFLUENZAE TYPE B	F2TW0N64FI	50937	None	None	None
N-(4-((4-(DIETHYLAMINO)PHENYL)(2,4-DISULFOPHENYL)METHYLENE)-2,5-CYCLOHEXADIEN-1-YLIDENE)-N-ETHYLETHANAMINIUM, HYDROXIDE, INNER SALT, SODIUM SALT	FH1929ICIT	32950	None	None	None
ALLERGENIC EXTRACT, PULLULARIA PULLULANS	D1A2NG69CK	852102	None	None	None
TESTOSTERONE DECANOATE	IJW60LAO6S	37858	None	None	None
MANDARIN OIL	NJO720F72R	1305716	None	None	None
C20-40 PARETH-10	TE3MZI4V3F	1307154	None	None	None
CHASTEBERRY	433OSF3U8A	259261	None	None	None
EPIDERMOPHYTON FLOCCOSUM ALLERGENIC EXTRACT	6JR6JTN25S	995707	None	None	None
3,5,7-TRIHYDROXY-2-(3,4,5-TRIHYDROXYPHENYL)-4H-1-BENZOPYRAN-4-ONE	76XC01FTOJ	1368374	None	None	None
LOWBUSH BLUEBERRY JUICE	834067J0NY	1486793	None	None	None
BUTYL ESTER OF METHYL VINYL ETHER-MALEIC ANHYDRIDE COPOLYMER (125 KD)	389H2R62BD	1368140	None	None	None
POLYETHYLENE GLYCOL 8000000	8EIY1IHX76	1370827	None	None	None
DIAMOND TURBOT	JYS56A4S2S	1424878	None	None	None
DOCONEXENT	ZAD9OKH9JC	1006469	None	None	CHEBI_28125
HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID	RWW266YE9I	1312611	None	None	None
VECURONIUM BROMIDE	7E4PHP5N1D	11153	None	None	None
POLYETHYLENE GLYCOL 450	5IRA46LB71	1363441	None	None	None
ECHIUM PLANTAGINEUM SEED OIL	PIB7XBU8XW	1305635	None	None	None
POLYETHYLENE GLYCOL 900	UEP843BRCQ	1314204	None	None	None
RIMITEROL HYDROBROMIDE	I29DRR8S3R	203161	None	None	None
ALPHA-1-PROTEINASE INHIBITOR HUMAN	F43I396OIS	991743	None	None	None
OCTISALATE	4X49Y0596W	91327	None	None	None
DIPALMITOYLPHOSPHATIDYLCHOLINE	319X2NFW0A	69782	None	None	None
STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN	TGJ6YZC4W7	798228	None	None	None
DEXMETHYLPHENIDATE HYDROCHLORIDE	1678OK0E08	353105	None	None	None
TETRYZOLINE HYDROCHLORIDE	0YZT43HS7D	57983	None	None	None
UROKINASE	83G67E21XI	11055	None	None	None
CLORAL BETAINE	8680278NRH	89808	None	None	None
MEVALONOLACTONE	661X270Z3L	1442202	None	None	None
CROFELEMER	PY79D6C8RX	1364449	None	None	None
BENZENESULFONAMIDE, 4-AMINO-N-2-PYRIMIDINYL-	0N7609K889	10171	None	None	None
BEECH POLLEN EXTRACT	34X886W1H4	852419	None	None	None
CARTEOLOL HCL	4797W6I0T4	142132	None	None	None
AZELASTINE	ZQI909440X	18603	None	None	CHEBI_2950
CANDESARTAN	S8Q36MD2XX	214354	Candesartan	DB00796	None
HELICIN	6N4TI8P9R5	236999	None	None	None
ARABIDOPSIS THALIANA	AI3L60HQ81	1314265	None	None	None
CANTHARIS	3Q034RO3BT	1311265	None	None	None
GUAZUMA ULMIFOLIA LEAF EXTRACT	51950012CZ	1307837	None	None	None
TILIA CORDATA WOOD	674MYE89IE	1312724	None	None	None
THIOREDOXIN	XJZ418133Z	1314275	None	None	None
DATURA STRAMONIUM	G6W4F0V8Z3	1310350	None	None	None
ANHYDROUS TRISODIUM CITRATE	RS7A450LGA	1310549	None	None	None
PRIFTIN	XJM390A33U	262139	None	None	None
ANISTREPLASE	5O8V541HJ6	40028	None	None	None
BORAGE SEED OIL	F8XAG1755S	68905	None	None	None
CHINESE CHESTNUT	2774MIM2V7	1372271	None	None	None
VILOXAZINE	5I5Y2789ZF	11196	None	None	None
RILUTEK	7LJ087RS6F	196501	None	None	None
STREPTOCOCCUS PNEUMONIAE TYPE 9N CAPSULAR POLYSACCHARIDE ANTIGEN	313LJP87ET	854972	None	None	None
GLUTAMIC ACID HYDROCHLORIDE	M0C2SP444T	91269	None	None	None
SALMON ALLERGENIC EXTRACT	7062I37LB3	892584	None	None	None
REHMANNIA GLUTINOSA WHOLE	37S3F886KQ	1490688	None	None	None
OGEN	SVI38UY019	218863	None	None	None
CIMETIDINE	80061L1WGD	2541	Cimetidine	DB00501	CHEBI_3699
OLEUM RICINI	D5340Y2I9G	2129	None	None	None
OCUFEN	Z5B97MU9K4	93588	None	None	None
SUCROSE ACETATE ISOBUTYRATE	H5KI1C3YTV	1363646	None	None	None
PREDNYLIDENE	IF8PQP966U	12473	None	None	None
PINUS NIGRA POLLEN	17Q05812N1	900750	None	None	None
TRIOSTAT	GCA9VV7D2N	220469	None	None	None
CLOXACILLIN BENZATHINE	AC79L7PV2G	1043213	None	None	None
2,4-OXAZOLIDINEDIONE, 3,5,5-TRIMETHYL-	R7GV3H6FQ4	10827	None	None	None
CHOLINE MAGNESIUM TRISALICYLATE	DJJ95FJP1H	215799	Trisalicylate-choline	DB01401	None
AMMONIA WATER	5138Q19F1X	1362884	None	None	None
SEMISODIUM VALPROATE	644VL95AO6	266856	None	None	None
SULFURIC ACID, ZINC SALT (1:1)	0J6Z13X3WO	39954	None	None	None
VERTICILLIUM ALBO-ATRUM EXTRACT	X92O101CS2	968467	None	None	None
CULTIVATED MUSHROOM EXTRACT	54C8E6W6JY	1311817	None	None	None
PHENYLETHYL RESORCINOL	G37UFG162O	1313724	None	None	None
FLUDROCORTISONE	U0476M545B	4452	Fludrocortisone	DB00687	CHEBI_50885
ASARUM SIEBOLDII ROOT	8IPR99RALA	1307817	None	None	None
HYDROXYPROPYL CELLULOSE (TYPE E)	66O7AQV0RT	1356136	None	None	None
DIPYRONE MAGNESIUM	MS15642725	236464	None	None	None
CLINDETS	EH6D7113I8	320493	None	None	None
MYRCIA OIL	3T5GC5CQ33	1426919	None	None	None
URIC ACID	268B43MJ25	1427088	Uric Acid	DB08844	CHEBI_17775
L1 PROTEIN, HUMAN PAPILLOMAVIRUS TYPE 18 VACCINE	J2D279PEM5	798266	None	None	None
BETAXOLOL HYDROCHLORIDE	6X97D2XT0O	142144	None	None	None
MEADOW FESCUE GRASS POLLEN EXTRACT	A0WFQ8P6N1	851918	None	None	None
STANNOUS OXIDE	JB2MV9I3LS	1367135	None	None	None
STREPTOCOCCUS PNEUMONIAE SEROTYPE 18C CAPSULAR ANTIGEN DIPHTHERIA CRM197 PROTEIN CONJUGATE VACCINE	XK87D9J012	798222	None	None	None
PENICILLIN V POTASSIUM	146T0TU1JB	203195	None	None	None
KIDNEY BEAN	M98C8416QO	891637	None	None	None
BUTENAFINE HYDROCHLORIDE	R8XA2029ZI	236558	None	None	None
ALLIUM CEPA WHOLE	8P2VLG2456	1313308	None	None	None
SYZYGIUM JAMBOS SEED	97P0H45869	1310154	None	None	None
POLYETHYLENE GLYCOL 4000000	RU64142H6P	1370192	None	None	None
CIPROFLOXACIN LACTATE	UEY6XFC224	235851	None	None	None
ULESFIA	LKG8494WBH	853322	None	None	None
1,3-BENZENEDIOL	YUL4LO94HK	35382	None	None	None
ISOLEUCINE	04Y7590D77	6033	L-Isoleucine	DB00167	CHEBI_17191
COMFREY LEAF	DG4F8T839X	1318235	None	None	None
POLYGLYCERYL-2 DIISOSTEARATE	DG195GP57P	1431226	None	None	None
VITAMIN B2	TLM2976OFR	9346	None	None	None
OLIVE OIL	6UYK2W1W1E	1309250	None	None	None
CLOFARABINE	762RDY0Y2H	44151	Clofarabine	DB00631	CHEBI_681569
MEDRONATE DISODIUM	HAY5MT18L3	317599	None	None	None
GLYCERYL 1-OLEATE	D3AEF6S35P	1426374	None	None	None
6H-PURIN-6-ONE, 2-AMINO-1,9-DIHYDRO-9-((2-HYDROXY-1-(HYDROXYMETHYL)ETHOXY)METHYL)-	P9G3CKZ4P5	4678	None	None	None
METARAMINOL TARTRATE	ZC4202M9P3	6806	None	None	None
VITAMIN B1	X66NSO3N35	10454	None	None	None
SODIUM LAURETH-2 PHOSPHATE	1IO8CC3XDG	1441535	None	None	None
POLYETHYLENE GLYCOL 1000	U076Q6Q621	1368863	None	None	None
CALCIUM ALGINATE	8P20S56HZI	47610	None	None	None
ROBENIDINE	4888ME6C4E	1311554	None	None	None
VANQUISH	SJG3M6RY6H	220751	None	None	None
C12-15 ALKYL LACTATE	GC844VRD7E	1356133	None	None	None
NABILONE	2N4O9L084N	31447	None	None	None
CHOLESTERYL/OCTYLDODECYL LAUROYL GLUTAMATE	Q2SU6H209C	1435107	None	None	None
HYDROXYPROPYL CELLULOSE (TYPE J)	5Y0974F5PW	1485045	None	None	None
CYBERLINDNERA JADINII RNA	5620EH64M4	1432976	None	None	None
ASCARIS LUMBRICOIDES PREPARATION	5694HE17ZQ	1351898	None	None	None
ACETYL TETRAPEPTIDE-9	VMO8OOD3V0	1307099	None	None	None
ACER RUBRUM POLLEN	700NK45C76	851744	None	None	None
CHLOROQUINE SULPHATE	OE48649K6N	203119	None	None	None
HARD MAPLE POLLEN EXTRACT	V38QUQ7861	851874	None	None	None
PENTETRAZOL	WM5Z385K7T	8015	None	None	None
TRIMETHOPRIM HCL	9XE000OU9B	259281	None	None	None
ESLICARBAZEPINE	S5VXA428R4	1482502	None	None	None
HYDROXYETHYL CELLULOSE (2000 MPA.S AT 1%)	S38J6RZN16	1299925	None	None	None
YOHIMBINE HYDROCHLORIDE	NB2E1YP49F	133041	None	None	None
RABIES VACCINES	C6547J35OD	9097	None	None	None
VIGNA RADIATA WHOLE	CO450M8A6J	1428842	None	None	None
BLACK COHOSH ROOT	K73E24S6X9	259511	None	None	None
OLEORESIN CAPSICUM	UW86K581WY	235787	None	None	None
WHITE OAK BARK	93LP7Y8EGT	1319902	None	None	None
GAMMA-UNDECALACTONE	QB1T0AG2YL	1376148	None	None	None
N-BUTYL LACTATE	0UI63W814U	1435572	None	None	None
TIMOTHY GRASS POLLEN EXTRACT	65M88RW2EG	851994	None	None	None
MOLYBDENUM	81AH48963U	7024	None	None	None
DIMECROTIC ACID MAGNESIUM	1IZ92DEM5B	236347	None	None	None
CLEMASTINE FUMARATE	19259EGQ3D	142430	None	None	None
4(3H)-QUINAZOLINONE, 2-METHYL-3-(2-METHYLPHENYL)-	7ZKH8MQW6T	6823	None	None	None
DEXBROMPHENIRAMINE	75T64B71RP	22696	Dexbrompheniramine	DB00405	CHEBI_59269
URTICA DIOICA LEAF	X6M0DRN46Q	1309281	None	None	None
METHYLTHIONINE CHLORIDE	8NAP7826UB	6878	None	None	None
PYRIDOSTIGMINE	19QM69HH21	9000	Pyridostigmine	DB00545	None
RESECTISOL	3OWL53L36A	202698	None	None	None
LIGUSTRUM POLLEN	8681LX06DO	852622	None	None	None
BITTER FENNEL	J5W36Y5WG8	1372008	None	None	None
NONANEDIOIC ACID	F2VW3D43YT	18602	None	None	CHEBI_48131
SULBACTAM	S4TF6I2330	10167	None	None	None
DECYL JOJOBATE	ZL61O8TFZU	1431147	None	None	None
MECLOFENAMIC ACID	48I5LU4ZWD	6678	Meclofenamic acid	DB00939	None
PROTAMINE	72G3UY6T4N	8826	None	None	None
ADENOSINE, CYCLIC 3',5'-(HYDROGEN PHOSPHATE)	E0399OZS9N	1314330	None	None	None
JOHNSON GRASS SMUT EXTRACT	GQM6LVU5V8	852128	None	None	None
L-ASPARTIC ACID, COMPD. WITH L-ARGININE (1:1)	LZB1G2I725	18254	None	None	None
CINNARIZINE	3DI2E1X18L	2549	Cinnarizine	DB00568	CHEBI_31403
MAGALDRATE	6V88E24N5T	29151	None	None	None
MONOSTEARIN	230OU9XXE4	1311165	None	None	None
SENNOSIDES	3FYP5M0IJX	36387	None	None	None
CESTRUM LATIFOLIUM LEAF EXTRACT	O2618B6E88	1376087	None	None	None
WHITE (MEXICAN) DOCK POLLEN EXTRACT	BHS470V9ON	1014743	None	None	None
ANGELICA SINENSIS WHOLE EXTRACT	697D19QDBN	1370729	None	None	None
CLEMATIS VITALBA FLOWER	7SCP4N87CI	1355831	None	None	None
OZURDEX	7S5I7G3JQL	854178	None	None	None
3,5-PYRAZOLIDINEDIONE, 4-BUTYL-1-(4-HYDROXYPHENYL)-2-PHENYL-	A7D84513GV	7816	None	None	None
BOS TAURUS SOLAR PLEXUS	Y8H8S1X8IB	1310293	None	None	None
ALCARE	WAN07H3BQL	404835	None	None	None
VORICONAZOLE	JFU09I87TR	121243	Voriconazole	DB00582	CHEBI_10023
SULFAMETHOPYRAZINE	T6BL4ZC15G	10175	None	None	None
ISOPROPYL ALCOHOL	ND2M416302	797541	None	None	None
PSEUDOEPHEDRINE HYDROCHLORIDE	6V9V2RYJ8N	91168	None	None	None
XIBORNOL	RQ12GMY0FZ	39823	None	None	None
PORPHYRA UMBILICALIS EXTRACT	14AN0J70WO	1368343	None	None	None
PYRAZINO(2,1-A)PYRIDO(2,3-C)(2)BENZAZEPINE, 1,2,3,4,10,14B-HEXAHYDRO-2-METHYL-	A051Q2099Q	15996	None	None	None
SERRATED SWIMMING CRAB, COOKED	4A6GQL6M36	1315122	None	None	None
ACRYLIC ACID/SODIUM ACRYLATE COPOLYMER (1:1; 600 MPA.S AT 0.2%)	M4PPW69Y4H	1429914	None	None	None
ERIOBOTRYA JAPONICA LEAF EXTRACT	Z02066SV11	1310088	None	None	None
TERBINAFINE	G7RIW8S0XP	37801	Terbinafine	DB00857	None
1-(P-CHLOROPHENOXY)-1-IMIDAZOL-1-YL-3,3-DIMETHYL-2-BUTANONE	9N42CW7I54	191566	None	None	None
FACTOR X	0P94UQE6SY	4262	None	None	None
MANGAFODIPIR TRISODIUM, ANHYDROUS	129FW80TG4	221119	None	None	None
ERBITUX	PQX0D8J21J	355460	None	None	None
1,6-HEXANE DIISOCYANATE	0I70A3I1UF	1428547	None	None	None
GALLODESOXYCHOLIC ACID	0GEI24LG0J	2323	None	None	CHEBI_16755
PARETHOXYCAINE HCL	414P5USJ7F	236250	None	None	None
KOJIC DIPALMITATE	13N249RWTM	1314207	None	None	None
GLAUCINE	NU19306XA7	1368876	None	None	None
ZINC RICINOLEATE	BOH1Z111J2	1367132	None	None	None
PHENYLEPHRINE HCL	04JA59TNSJ	8164	None	None	None
FLUNISOLIDE	QK4DYS664X	25120	None	None	CHEBI_5106
XEOMIN	E211KPY694	1000108	None	None	None
KARAYA GUM ALLERGENIC EXTRACT	73W9IQY50Q	904554	None	None	None
LUFFA	F0R3Y60C6V	1310287	None	None	None
MORUS ALBA LEAF EXTRACT	M8YIA49Q2P	1309988	None	None	None
PEARL (HYRIOPSIS CUMINGII)	A75L5FZ40U	1438509	None	None	None
INDANAZOLINE	L0U38EHD86	27492	None	None	None
MOSCHUS MOSCHIFERUS MUSK SAC RESIN	8KFK4W7KP7	1426870	None	None	None
VELAGLUCERASE ALFA	23HYE36B0I	901805	None	None	None
PNEUMOCOCCAL CAPSULAR POLYSACCHARIDE TYPE 15B VACCINE	667Y1EG6EW	854940	None	None	None
STAPHYLOCOCCUS SIMULANS	V68E0X60VL	1489917	None	None	None
PHENYTEK	4182431BJH	352891	None	None	None
ZYCLARA	P1QW714R7M	967018	None	None	None
N-DODECANE	11A386X1QH	1314271	None	None	None
STREPTOCOCCUS PYOGENES IMMUNOSERUM RABBIT	726RS6QMS8	1367197	None	None	None
STRONTIUM-89 CHLORIDE	5R78837D4A	281890	None	None	None
ZALTRAP	15C2VL427D	1304480	None	None	None
L1 PROTEIN, HUMAN PAPILLOMAVIRUS TYPE 18	J2D279PEM5	458451	None	None	None
PALM ACID	B6G0Y5Z616	1426624	None	None	None
CAVIAR PREPARATION	020K6HLU0O	1425214	None	None	None
LIQUEFIED PHENOL	339NCG44TV	239351	None	None	None
L1 PROTEIN, HUMAN PAPILLOMAVIRUS TYPE 11	6LTE2DNX63	89137	None	None	None
L1 PROTEIN, HUMAN PAPILLOMAVIRUS TYPE 16	6LTE2DNX63	798264	None	None	None
PERGOLIDE MESYLATE	55B9HQY616	8048	None	None	None
VITIS VINIFERA SEED EXTRACT	C34U15ICXA	1307966	None	None	None
ETHYLMORPHINE	RWO67D87EU	4166	Ethylmorphine	DB01466	None
SULFACYTINE	T795873AJP	78902	Sulfacytine	DB01298	None
EFUDEX	U3P01618RT	224945	None	None	None
WILD YAM EXTRACT	IWY3IWX2G8	237020	None	None	None
SODIUM BENZENESULFONATE	K5RM14AZHX	1313277	None	None	None
NIKETHAMIDE	368IVD6M32	7424	None	None	None
CALCIUM SACCHARATE TETRAHYDRATE	6AP9J91K4V	1907	None	None	None
HEPATITIS B VACCINE (RECOMBINANT)	IFJ010MNE4	26746	None	None	None
COAGULATION FACTOR X	0P94UQE6SY	4262	None	None	None
ROMAZICON	40P7XK9392	151353	None	None	None
INFLUENZA B VIRUS B/BRISBANE/60/2008 ANTIGEN (FORMALDEHYDE INACTIVATED)	W45Z4CJE2J	857921	None	None	None
SUPPRELIN	QMG7HLD1ZE	220125	None	None	None
VALCYTE	4P3T9QF9NZ	304959	None	None	None
CLIOQUINOL	7BHQ856EJ5	5942	Clioquinol	DB04815	None
CYNARA SCOLYMUS LEAF	B71UA545DE	1322547	None	None	None
ZANTHOXYLUM BUNGEANUM FRUIT RIND	K447936H97	1367687	None	None	None
MAGNOLIA OFFICINALIS FLOWER	KO528PK8VZ	1309351	None	None	None
TURMERIC ROOT EXTRACT	856YO1Z64F	1114883	None	None	None
HYDROXYDAUNOMYCIN HYDROCHLORIDE	82F2G7BL4E	142433	None	None	None
DOXACURIUM CHLORIDE	M78TVM3G5Z	49275	None	None	CHEBI_4707
DIBASIC POTASSIUM PHOSPHATE	CI71S98N1Z	55018	None	None	None
TIXOCORTOL	ZX3KEK657Z	57257	None	None	None
VANTIN	2TB00A1Z7N	220753	None	None	None
PIX LIQUIDA	YFH4WC535J	8333	None	None	None
ERIBULIN	LR24G6354G	1045453	None	None	None
FU LING	XH37TWY5O4	1314424	None	None	None
CARBENOXOLONE DISODIUM SALT	F1MP7242Z5	2018	None	None	None
SERTACONAZOLE NITRATE	1DV05410M5	236601	None	None	None
ALTHAEA OFFICINALIS WHOLE	8SG7244265	1428412	None	None	None
ASPERGILLUS NIGER VAR. NIGER EXTRACT	9IOA40ANG6	854082	None	None	None
CYCLAMATE	HN3OFO5036	2969	None	None	None
ARTICHOKE ALLERGENIC EXTRACT	4F3W47PLBE	891776	None	None	None
TOMATO ALLERGENIC EXTRACT	Z4KHF2C175	892499	None	None	None
VISMODEGIB	25X868M3DS	1242987	Vismodegib	DB08828	CHEBI_66903
N-ISOPROPYL-N'-PHENYL-P-PHENYLENEDIAMINE	0M7PSL4100	1363710	None	None	None
THERMUS THERMOPHILUS LYSATE	775R692494	1306060	None	None	None
HYDROXYPROPYL METHYLCELLULOSE 2208	3NXW29V3WO	1363585	None	None	None
GLECHOMA HEDERACEA EXTRACT	L6O7WQK912	1310140	None	None	None
TOPOTECAN HCL	956S425ZCY	266573	None	None	None
PROPYL ALCOHOL	96F264O9SV	1362872	1-Proponol	DB03175	CHEBI_28831
